Headline,Source,Issue date,URL,Summary
Nvidia is trying to hold on to its business in China — even as it gets harder to compete with Huawei,MarketWatch,2025-05-16 20:24:00,https://www.marketwatch.com/story/nvidia-is-trying-to-hold-on-to-its-business-in-china-even-as-it-gets-harder-to-compete-with-huawei-95595392,The chipmaker wants to attract top AI talent in China as it faces tightening U.S. restrictions and challenges from homegrown chipmakers
China tariff 'stacking' pushes true cost of import taxes well above 30% on many consumer products,CNBC,2025-05-16 14:25:36,https://www.cnbc.com/2025/05/16/china-tariff-stacking-true-cost-import-taxes-above-30percent.html,President Trump's pause on the steepest China tariffs masks the true cost many importers are facing from stacking of trade taxes.
Remember Tepper’s ‘everything’ rant on China? Panthers owner cut stakes in Alibaba and other Chinese firms.,MarketWatch,2025-05-16 08:53:00,https://www.marketwatch.com/story/remember-teppers-everything-rant-on-china-panthers-owner-cut-stakes-in-alibaba-and-other-chinese-firms-6ef14dd1,"During the first quarter, the Carolina Panthers owner trimmed stakes in Alibaba and other Chinese companies."
Trump isn’t happy with how Apple plans to escape China tariffs,MarketWatch,2025-05-15 16:49:00,https://www.marketwatch.com/story/trump-isnt-happy-with-how-apple-plans-to-escape-china-tariffs-37c83452,The iPhone maker is diversifying production to India amid tensions between the U.S. and China — but the U.S. president wants it to move stateside.
At Home looks for new overseas suppliers outside of China,Bloomberg,2025-05-15 04:39:29,https://www.bloomberg.com/news/articles/2025-05-14/at-home-looks-for-new-overseas-suppliers-as-debt-talks-continue,"At Home Group Inc. shifts supply chain from China, offers charge-back waivers to suppliers amid debt-restructuring talks."
"Boot Barn’s stock is rallying, but executives are cautious on upcoming tariff impact",MarketWatch,2025-05-15 00:11:00,https://www.marketwatch.com/story/boot-barns-stock-is-rallying-but-executives-are-cautious-on-upcoming-tariff-impact-f692eb8b,"The company also outlined plans to lean less on China for some production, and said it would cancel orders on items hardest hit by the taxes on imports."
